"year","meanTemp"
1945,53.7
1946,53.4
1947,54.2
1948,51.1
1949,52.6
1950,50.6
1951,52.6
1952,53.2
1953,54.7
1954,52.6
1955,50.7
1956,52.8
1957,52.7
1958,56.2
1959,52.3
1960,52.7
1961,54.6
1962,53.1
1963,53.3
1964,51.6
1965,53.9
1966,54.8
1967,55.8
1968,54.2
1969,52.6
1970,53.2
1971,53.4
1972,52.6
1973,53.9
1974,53.9
1975,52.4
1976,52.2
1977,53.1
1978,51.9
1979,52.5
1980,52.2
1981,54.5
1982,52.8
1983,52.7
1984,51.1
1985,49.6
1986,54.1
1987,55.7
1988,54.8
1989,53.9
1990,55.6
1991,54.7
1992,56.4
1993,51.8
1994,56.2
1995,54.7
1996,52.4
1997,54.8
1998,56.4
1999,54.4
2000,52.6
2001,54.3
2002,54.4
2003,55.6
2004,54.6
2005,53.5
2006,54
2007,53.5
2008,52.4
2009,52.8
2010,53.9
2011,52.3
2012,54.4
2013,53.9
2014,56.1
2015,57.5
2016,56
